1,2022/04/24,12:35:01,2,2,417,27209.25,2
2,2022/05/11,13:40:21,3,3,745,52440.55,2
3,2022/06/03,14:39:27,2,1,176,8910.88,3
4,2022/06/04,15:39:13,2,1,350,17720.5,2
5,2022/06/15,18:27:21,4,2,230,15007.5,2
6,2022/06/19,17:39:45,3,3,627,44134.53,1
7,2022/06/29,18:31:53,2,3,360,25340.4,3
8,2022/07/01,18:32:27,2,3,208,14641.12,2
9,2022/07/05,20:54:52,3,2,638,41629.5,2
10,2022/07/18,20:24:16,4,1,555,28099.65,3
11,2022/07/22,15:35:43,2,1,1080,54680.4,2
12,2022/08/13,14:39:27,2,2,417,14641.13,2
13,2022/08/24,15:39:13,2,1,745,41629.6,2
14,2022/08/30,18:27:21,4,3,176,28099.66,1
15,2022/09/04,12:35:01,2,1,208,54680.5,2
